gene_name,sample1,sample2,sample3,sample4,sample5,sample6
CG7271,0,2,0,0,2,0
CG10674,216,202,246,214,213,215
Syx16,327,260,387,295,321,339
DppIII,8691,7785,10415,8575,7940,9598
Crk,794,503,960,773,974,875
Srp14,503,410,556,483,461,572
Elp3,182,147,219,165,152,144
Adck1,1007,807,1270,764,771,841
asrij,453,406,579,436,482,494
CG43051,337,312,311,327,369,366
CG30338,89,75,104,88,89,103
Cpr73D,189,140,225,316,281,258
CG12692,878,823,1149,952,1138,1100
mRpS14,396,249,434,325,312,350
bab2,1431,1072,1265,1336,1126,1134
Myt1,174,153,223,200,184,212
CR34311,0,0,0,0,0,0
CG13692,4,6,7,8,7,7
CG10651,263,261,378,258,254,232
CG8607,18,16,16,18,30,35
Spase22-23,2354,2068,3154,2297,2315,2932
FBtr0309646_df_nrg,0,0,0,0,0,0
CG13744,5,3,6,10,6,10
Dolk,479,313,551,431,503,478
pHCl-1,1507,1111,1516,1801,1447,1709
FBtr0472815_df_nrg,0,0,0,0,0,0
DIP-iota,5,6,6,6,3,7
IFT43,50,50,54,44,45,59
CrebB,1927,1396,1778,1924,1777,1887
CG9799,296,255,392,266,339,343
Idgf1,1326,854,1179,1334,1248,1525
FBtr0304423_df_nrg,0,0,0,0,0,0
Dlip3,102,64,121,120,111,116
CG17378,1889,1564,2241,1815,2022,2080
CG46339,2262,1370,1850,2396,1861,2300
C901,2,3,11,7,6,9
FBtr0304428_df_nrg,0,0,0,0,0,0
CG15414,57,38,52,36,47,51
lolal,2106,1915,2196,2380,1776,2063
beg,182,145,240,209,230,209
Vajk2,772,456,691,305,174,252
FBtr0472785_df_nrg,0,0,0,0,0,0
Hsc70-1,8117,7160,8873,6938,6785,7441
CR43384,0,0,0,0,0,0
CG13445,3,1,2,3,2,3
TfIIFalpha,1214,1028,1415,1553,1586,1587
Tep4,3273,1925,2700,4402,3610,4345
CG5727,327,316,423,409,353,386
CG9497,608,340,473,340,358,422
Obp56e,692,789,1004,559,571,713
CG10669,201,143,213,156,169,172
Tsp39D,105,83,141,108,103,136
CG7694,874,618,1066,782,840,802
ppk12,2,3,4,5,3,5
CG5084,16,5,6,13,7,8
CG12672,48,35,33,33,31,27
ND-42,8222,4733,7907,6205,8704,8236
Spps,543,408,546,492,395,476
TP53INP,24560,17639,21446,24217,22594,20945
Mer,965,679,878,1064,1051,1008
CG6937,161,86,155,118,149,155
CG9664,457,315,425,367,363,400
CG43851,104,106,179,129,160,140
CG7991,84,59,79,56,58,59
Maf1,619,471,694,723,789,854
CR41243,14,26,28,16,17,17
SMC1,682,531,737,784,697,744
CG11436,43,41,52,62,47,75
CG31125,187,179,221,155,129,148
CG6833,436,359,418,368,389,358
CG14883,193,122,177,173,161,173
p38b,690,386,650,692,642,727
PAN2,1255,842,1279,1232,1163,1298
Pfas,1555,1213,1470,1634,1505,1764
FBtr0309647_df_nrg,0,0,0,0,0,0
FBtr0309710_df_nrg,0,0,0,0,0,0
Ir94e,7,3,17,2,2,2
side-VIII,406,287,370,427,289,364
CG14757,2924,2122,3312,2429,2647,2930
CG17803,62,37,55,42,29,41
CG32054,357,203,230,440,362,398
pippin,426,232,370,581,454,453
Pus10,106,119,133,110,132,147
CG43630,36,40,64,92,88,80
EMC10,474,389,554,502,563,506
CG32022,544,463,656,440,566,575
CG5346,1173,746,1034,1224,1107,1187
CG11811,550,421,615,532,555,572
CG31128,767,723,905,677,905,907
pch2,117,108,170,102,104,148
CG42327,1507,988,1299,2154,1608,1798
Glut1,2011,1539,1896,1713,1388,1829
Or33c,0,0,0,1,1,4
CG42658,72,91,89,88,104,114
CG17075,300,236,347,272,267,357
cyr,29,10,17,17,19,19
CG3491,558,513,714,568,618,675
Cox11,213,137,230,250,283,244
ND-B14.5A,5212,2642,4881,4806,5405,6255
Upf2,795,635,862,956,914,997
CG11403,32,31,38,44,42,41
CG34173,39,46,66,53,65,71
Coq6,1475,1146,1636,1761,1590,1435
CG8478,1569,1546,2138,1161,1228,1407
CG34330,745,551,797,573,727,790
tsr,2945,2658,3066,3296,3000,3213
CG3036,1593,1280,1279,1492,1272,1686
Nep7,159,90,128,188,186,182
CG3097,909,741,951,1000,920,1095
I-2,1992,1759,2237,2443,2402,2472
Ir76b,22,17,38,12,13,15
CG13390,137,100,142,127,146,157
CG32727,245,178,275,179,243,242
atlas,983,1022,1238,992,1011,1238
px,2267,1704,2096,2693,2033,2338
Ubr3,3228,2358,3182,3988,3301,3842
pad,280,207,267,255,246,260
GCC88,673,429,646,473,547,487
ChLD3,94,90,114,68,115,122
CG43779,0,0,0,0,0,0
Prp5,295,159,239,273,232,232
Magi,396,293,365,456,415,442
geminin,612,525,637,772,746,745
CG18538,4,7,7,16,16,12
Ctl2,1860,1286,1970,2138,2115,2257
CG10177,1675,1449,2094,2100,2096,2297
CG9377,206,76,137,248,212,252
CG14434,27,17,25,28,29,26
CG14974,590,607,839,395,690,659
CG33093,10,13,11,2,2,2
ND-B12,7989,5507,9703,6071,10141,7434
Polr2J,175,138,199,202,207,214
Ubc84D,1653,1683,2063,1751,1922,1898
lectin-37Da,273,182,264,195,164,198
FBtr0445485_df_nrg,0,0,0,0,0,0
nord,129,97,134,109,101,140
CG43248,1,1,13,1,2,0
CG12111,985,923,1323,959,977,1065
CG15390,56,46,61,60,48,73
Cerk,1435,1072,1618,1457,1517,1445
ARY,137,120,213,144,190,226
san,1139,1001,1268,1385,1137,1385
CG17121,876,585,785,1024,704,1060
CG43922,452,502,580,343,547,720
CR42838,0,0,0,0,0,0
CG32811,65,71,79,83,74,68
fs(1)Yb,64,37,78,52,69,56
barc,640,426,704,635,653,716
wal,6156,3703,5255,5512,5264,5966
IntS1,1316,1060,1536,1493,1359,1584
CG31301,498,429,586,414,512,500
Polr3A,252,194,277,251,260,274
Cpr76Ba,1,0,1,0,1,3
CG10332,924,768,765,0,758,318
